VARIABLES="X" "Y" "Vx" "Vy" 
Zone T = "single_2412_2412_ Streamlines" 
I=35, J=1, K=1 
-0.473154, -0.327781, 0.978949, 0.003065 
-0.459732, -0.327781, 0.978594, 0.002627 
-0.446309, -0.327781, 0.978242, 0.002159 
-0.432886, -0.327781, 0.977894, 0.001660 
-0.419463, -0.327781, 0.977551, 0.001129 
-0.406040, -0.327781, 0.977215, 0.000562 
-0.392617, -0.327781, 0.976890, -0.000040 
-0.379195, -0.327781, 0.976576, -0.000680 
-0.365772, -0.327781, 0.976278, -0.001360 
-0.352349, -0.327781, 0.975998, -0.002080 
-0.338926, -0.327781, 0.975740, -0.002843 
-0.325503, -0.327781, 0.975508, -0.003650 
-0.312081, -0.327781, 0.975307, -0.004501 
-0.298658, -0.327781, 0.975140, -0.005397 
-0.285235, -0.327781, 0.975015, -0.006339 
-0.271812, -0.327781, 0.974935, -0.007326 
-0.258389, -0.327781, 0.974908, -0.008358 
-0.244966, -0.327781, 0.974940, -0.009434 
-0.231544, -0.327781, 0.975038, -0.010551 
-0.218121, -0.327781, 0.975210, -0.011706 
-0.204698, -0.327781, 0.975462, -0.012895 
-0.191275, -0.327781, 0.975803, -0.014113 
-0.177852, -0.327781, 0.976240, -0.015353 
-0.164430, -0.327781, 0.976779, -0.016608 
-0.151007, -0.327781, 0.977429, -0.017868 
-0.137584, -0.327781, 0.978194, -0.019122 
-0.124161, -0.327781, 0.979079, -0.020359 
-0.110738, -0.327781, 0.980088, -0.021565 
-0.097315, -0.327781, 0.981223, -0.022725 
-0.083893, -0.327781, 0.982482, -0.023824 
-0.070470, -0.327781, 0.983864, -0.024846 
-0.057047, -0.327781, 0.985364, -0.025774 
-0.043624, -0.327781, 0.986973, -0.026593 
-0.030201, -0.327781, 0.988682, -0.027287 
-0.016779, -0.327781, 0.990477, -0.027842 
-0.003356, -0.327781, 0.992343, -0.028246 
0.010067, -0.327781, 0.994264, -0.028490 
0.023490, -0.327781, 0.996219, -0.028565 
0.036913, -0.327781, 0.998191, -0.028468 
0.050336, -0.327781, 1.000158, -0.028198 
0.063758, -0.327781, 1.002100, -0.027755 
0.077181, -0.327781, 1.003998, -0.027145 
0.090604, -0.327781, 1.005835, -0.026375 
0.104027, -0.327781, 1.007592, -0.025456 
0.117450, -0.327781, 1.009257, -0.024397 
0.130872, -0.327781, 1.010816, -0.023214 
0.144295, -0.327781, 1.012259, -0.021919 
0.157718, -0.327781, 1.013579, -0.020528 
0.171141, -0.327781, 1.014771, -0.019056 
0.184564, -0.327781, 1.015830, -0.017518 
0.197987, -0.327781, 1.016755, -0.015928 
0.211409, -0.327781, 1.017547, -0.014300 
0.224832, -0.327781, 1.018208, -0.012647 
0.238255, -0.327781, 1.018740, -0.010981 
0.251678, -0.327781, 1.019148, -0.009312 
0.265101, -0.327781, 1.019437, -0.007650 
0.278523, -0.327781, 1.019611, -0.006004 
0.291946, -0.327781, 1.019677, -0.004382 
0.305369, -0.327781, 1.019641, -0.002788 
0.318792, -0.327781, 1.019508, -0.001230 
0.332215, -0.327781, 1.019285, 0.000288 
0.345638, -0.327781, 1.018978, 0.001763 
0.359060, -0.327781, 1.018592, 0.003190 
0.372483, -0.327781, 1.018134, 0.004569 
0.385906, -0.327781, 1.017608, 0.005896 
0.399329, -0.327781, 1.017019, 0.007169 
0.412752, -0.327781, 1.016373, 0.008389 
0.426174, -0.327781, 1.015674, 0.009553 
0.439597, -0.327781, 1.014926, 0.010661 
0.453020, -0.327781, 1.014133, 0.011712 
0.466443, -0.327781, 1.013300, 0.012706 
0.479866, -0.327781, 1.012428, 0.013644 
0.493289, -0.327781, 1.011523, 0.014524 
0.506711, -0.327781, 1.010587, 0.015346 
0.520134, -0.327781, 1.009623, 0.016112 
0.533557, -0.327781, 1.008634, 0.016821 
0.546980, -0.327781, 1.007623, 0.017473 
0.560403, -0.327781, 1.006592, 0.018068 
0.573826, -0.327781, 1.005544, 0.018607 
0.587248, -0.327781, 1.004482, 0.019090 
0.600671, -0.327781, 1.003407, 0.019517 
0.614094, -0.327781, 1.002322, 0.019888 
0.627517, -0.327781, 1.001230, 0.020204 
0.640940, -0.327781, 1.000131, 0.020465 
0.654362, -0.327781, 0.999030, 0.020671 
0.667785, -0.327781, 0.997927, 0.020822 
0.681208, -0.327781, 0.996825, 0.020919 
0.694631, -0.327781, 0.995725, 0.020962 
0.708054, -0.327781, 0.994631, 0.020950 
0.721477, -0.327781, 0.993545, 0.020885 
0.734899, -0.327781, 0.992467, 0.020767 
0.748322, -0.327781, 0.991403, 0.020595 
0.761745, -0.327781, 0.990352, 0.020371 
0.775168, -0.327781, 0.989319, 0.020094 
0.788591, -0.327781, 0.988306, 0.019765 
0.802013, -0.327781, 0.987315, 0.019385 
0.815436, -0.327781, 0.986350, 0.018956 
0.828859, -0.327781, 0.985413, 0.018477 
0.842282, -0.327781, 0.984508, 0.017950 
0.855705, -0.327781, 0.983637, 0.017377 
0.869128, -0.327781, 0.982805, 0.016760 
0.882550, -0.327781, 0.982013, 0.016101 
0.895973, -0.327781, 0.981265, 0.015403 
0.909396, -0.327781, 0.980563, 0.014669 
0.922819, -0.327781, 0.979911, 0.013901 
0.936242, -0.327781, 0.979310, 0.013104 
0.949664, -0.327781, 0.978763, 0.012282 
0.963087, -0.327781, 0.978272, 0.011439 
0.976510, -0.327781, 0.977836, 0.010578 
